1774376172416,Safe,NORMAL
1774376172416,Safe,NORMAL
1774376172416,Safe,NORMAL
1774376172416,Safe,NORMAL
1774376172416,Safe,NORMAL
1774376172463,Safe,NORMAL
1774376172486,Safe,NORMAL
1774376172486,Safe,NORMAL
1774376172486,Safe,NORMAL
1774376172486,Safe,NORMAL
1774376172486,Safe,NORMAL
1774376172486,Safe,NORMAL
1774376172486,Safe,NORMAL
1774376172504,Safe,NORMAL
1774376172504,Safe,NORMAL
1774376172504,Safe,NORMAL
1774376172504,Safe,NORMAL
1774376172504,Safe,NORMAL
1774376172556,Safe,NORMAL
1774376172556,Safe,NORMAL
1774376172556,Safe,NORMAL
1774376172556,Safe,NORMAL
1774376172557,Safe,NORMAL
1774376172557,Safe,NORMAL
1774376172613,Safe,NORMAL
1774376172614,Safe,NORMAL
1774376172616,Safe,NORMAL
1774376172617,Safe,NORMAL
1774376172618,Safe,NORMAL
1774376172626,Safe,NORMAL
1774376172626,Safe,NORMAL
1774376172626,Safe,NORMAL
1774376172626,Safe,NORMAL
1774376172626,Safe,NORMAL
1774376172654,Safe,NORMAL
1774376172654,Safe,NORMAL
1774376172654,Safe,NORMAL
1774376172654,Safe,NORMAL
1774376172654,Safe,NORMAL
1774376172654,Safe,NORMAL
1774376172654,Safe,NORMAL
1774376172663,Safe,NORMAL
1774376172664,Safe,NORMAL
1774376172665,Safe,NORMAL
1774376172666,Safe,NORMAL
1774376172667,Safe,NORMAL
1774376172668,Safe,NORMAL
1774376172669,Safe,NORMAL
1774376172671,Safe,NORMAL
1774376172704,Safe,NORMAL
1774376172704,Safe,NORMAL
1774376172704,Safe,NORMAL
1774376172704,Safe,NORMAL
1774376172704,Safe,NORMAL
1774376172763,Safe,NORMAL
1774376172766,Safe,NORMAL
1774376172766,Safe,NORMAL
1774376172766,Safe,NORMAL
1774376172766,Safe,NORMAL
1774376172766,Safe,NORMAL
1774376172766,Safe,NORMAL
1774376172783,Safe,NORMAL
1774376172803,Safe,NORMAL
1774376172836,Safe,NORMAL
1774376172837,Safe,NORMAL
1774376172837,Safe,NORMAL
1774376172837,Safe,NORMAL
